completed_courses,next_recommended
"['MATH1131', 'MATH1131', 'CSE1010', 'CSE1010', 'MATH2210', 'CSE2100', 'CSE1010', 'MATH1131', 'CSE2010', 'CSE1010', 'STAT3025', 'MATH1131', 'CSE2100', 'CSE1010', 'MATH1131', 'CSE2010']",['CSE1010']
"['MATH1131', 'MATH1131', 'CSE1010', 'CSE1010', 'MATH2210', 'CSE2100', 'CSE1010', 'MATH1131', 'CSE2010', 'CSE1010', 'STAT3025', 'MATH1131', 'CSE2100', 'CSE1010', 'MATH1131', 'CSE2010', 'CSE1010']",['CSE2010']
"['MATH1131', 'MATH1131', 'CSE1010', 'CSE1010', 'MATH2210', 'CSE2100', 'CSE1010', 'MATH1131', 'CSE2010', 'CSE1010', 'STAT3025', 'MATH1131', 'CSE2100', 'CSE1010', 'MATH1131', 'CSE2010', 'CSE1010', 'CSE2010']",['MATH1131']
"['MATH1131', 'MATH1131', 'CSE1010', 'CSE1010', 'MATH2210', 'CSE2100', 'CSE1010', 'MATH1131', 'CSE2010', 'CSE1010', 'STAT3025', 'MATH1131', 'CSE2100', 'CSE1010', 'MATH1131', 'CSE2010', 'CSE1010', 'CSE2010', 'MATH1131']",['STAT3025']
"['MATH1131', 'MATH1131', 'CSE1010', 'CSE1010', 'MATH2210', 'CSE2100', 'CSE1010', 'MATH1131', 'CSE2010', 'CSE1010', 'STAT3025', 'MATH1131', 'CSE2100', 'CSE1010', 'MATH1131', 'CSE2010', 'CSE1010', 'CSE2010', 'MATH1131', 'STAT3025']",['MATH2210']
"['MATH1131', 'MATH1131', 'CSE1010', 'CSE1010', 'MATH2210', 'CSE2100', 'CSE1010', 'MATH1131', 'CSE2010', 'CSE1010', 'STAT3025', 'MATH1131', 'CSE2100', 'CSE1010', 'MATH1131', 'CSE2010', 'CSE1010', 'CSE2010', 'MATH1131', 'STAT3025', 'MATH2210']",['CSE1010']
"['MATH1131', 'MATH1131', 'CSE1010', 'CSE1010', 'MATH2210', 'CSE2100', 'CSE1010', 'MATH1131', 'CSE2010', 'CSE1010', 'STAT3025', 'MATH1131', 'CSE2100', 'CSE1010', 'MATH1131', 'CSE2010', 'CSE1010', 'CSE2010', 'MATH1131', 'STAT3025', 'MATH2210', 'CSE1010']",['MATH1131']
"['MATH1131', 'MATH1131', 'CSE1010', 'CSE1010', 'MATH2210', 'CSE2100', 'CSE1010', 'MATH1131', 'CSE2010', 'CSE1010', 'STAT3025', 'MATH1131', 'CSE2100', 'CSE1010', 'MATH1131', 'CSE2010', 'CSE1010', 'CSE2010', 'MATH1131', 'STAT3025', 'MATH2210', 'CSE1010', 'MATH1131']",['CSE3500']
"['MATH1131', 'CSE1010']","['CSE1010', 'MATH1131']"
"['MATH1131', 'CSE1010', 'MATH1131']",['CSE1010']
"['MATH1131', 'CSE1010', 'MATH1131', 'CSE1010']","['CSE2100', 'CSE1010', 'MATH2210', 'CSE2010', 'MATH1131']"
"['MATH1131', 'CSE1010', 'MATH1131', 'CSE1010', 'CSE1010']","['CSE2100', 'CSE1010', 'MATH2210', 'CSE2010', 'MATH1131']"
"['MATH1131', 'CSE1010', 'MATH1131', 'CSE1010', 'CSE1010', 'CSE2010']","['MATH2210', 'CSE1010', 'MATH1131']"
"['MATH1131', 'CSE1010', 'MATH1131', 'CSE1010', 'CSE1010', 'CSE2010', 'MATH1131']",['MATH2210']
"['MATH1131', 'CSE1010', 'MATH1131', 'CSE1010', 'CSE1010', 'CSE2010', 'MATH1131', 'MATH2210']",['MATH2210']
"['MATH1131', 'CSE1010', 'MATH1131', 'CSE1010', 'CSE1010', 'CSE2010', 'MATH1131', 'MATH2210', 'MATH2210']",['CSE1010']
"['MATH1131', 'CSE1010', 'MATH1131', 'CSE1010', 'CSE1010', 'CSE2010', 'MATH1131', 'MATH2210', 'MATH2210', 'CSE1010']",['CSE1010']
"['MATH1131', 'CSE1010', 'MATH1131', 'CSE1010', 'CSE1010', 'CSE2010', 'MATH1131', 'MATH2210', 'MATH2210', 'CSE1010', 'CSE1010']",['CSE2010']
"['MATH1131', 'CSE1010', 'MATH1131', 'CSE1010', 'CSE1010', 'CSE2010', 'MATH1131', 'MATH2210', 'MATH2210', 'CSE1010', 'CSE1010', 'CSE2010']",['CSE1010']
"['MATH1131', 'CSE1010', 'MATH1131', 'CSE1010', 'CSE1010', 'CSE2010', 'MATH1131', 'MATH2210', 'MATH2210', 'CSE1010', 'CSE1010', 'CSE2010', 'CSE1010']",['MATH2210']
"['MATH1131', 'CSE1010', 'MATH1131', 'CSE1010', 'CSE1010', 'CSE2010', 'MATH1131', 'MATH2210', 'MATH2210', 'CSE1010', 'CSE1010', 'CSE2010', 'CSE1010', 'MATH2210']",['STAT3025']
"['MATH1131', 'CSE1010', 'MATH1131', 'CSE1010', 'CSE1010', 'CSE2010', 'MATH1131', 'MATH2210', 'MATH2210', 'CSE1010', 'CSE1010', 'CSE2010', 'CSE1010', 'MATH2210', 'STAT3025']",['MATH1131']
"['MATH1131', 'CSE1010', 'MATH1131', 'CSE1010', 'CSE1010', 'CSE2010', 'MATH1131', 'MATH2210', 'MATH2210', 'CSE1010', 'CSE1010', 'CSE2010', 'CSE1010', 'MATH2210', 'STAT3025', 'MATH1131']",['CSE2100']
"['MATH1131', 'CSE1010', 'MATH1131', 'CSE1010', 'CSE1010', 'CSE2010', 'MATH1131', 'MATH2210', 'MATH2210', 'CSE1010', 'CSE1010', 'CSE2010', 'CSE1010', 'MATH2210', 'STAT3025', 'MATH1131', 'CSE2100']",['CSE1010']
"['MATH1131', 'CSE1010', 'MATH1131', 'CSE1010', 'CSE1010', 'CSE2010', 'MATH1131', 'MATH2210', 'MATH2210', 'CSE1010', 'CSE1010', 'CSE2010', 'CSE1010', 'MATH2210', 'STAT3025', 'MATH1131', 'CSE2100', 'CSE1010']",['MATH1131']
"['MATH1131', 'CSE1010', 'MATH1131', 'CSE1010', 'CSE1010', 'CSE2010', 'MATH1131', 'MATH2210', 'MATH2210', 'CSE1010', 'CSE1010', 'CSE2010', 'CSE1010', 'MATH2210', 'STAT3025', 'MATH1131', 'CSE2100', 'CSE1010', 'MATH1131']",['STAT3025']
"['MATH1131', 'CSE1010', 'MATH1131', 'CSE1010', 'CSE1010', 'CSE2010', 'MATH1131', 'MATH2210', 'MATH2210', 'CSE1010', 'CSE1010', 'CSE2010', 'CSE1010', 'MATH2210', 'STAT3025', 'MATH1131', 'CSE2100', 'CSE1010', 'MATH1131', 'STAT3025']",['MATH2210']
"['MATH1131', 'CSE1010', 'MATH1131', 'CSE1010', 'CSE1010', 'CSE2010', 'MATH1131', 'MATH2210', 'MATH2210', 'CSE1010', 'CSE1010', 'CSE2010', 'CSE1010', 'MATH2210', 'STAT3025', 'MATH1131', 'CSE2100', 'CSE1010', 'MATH1131', 'STAT3025', 'MATH2210']",['MATH1131']
"['MATH1131', 'CSE1010', 'MATH1131', 'CSE1010', 'CSE1010', 'CSE2010', 'MATH1131', 'MATH2210', 'MATH2210', 'CSE1010', 'CSE1010', 'CSE2010', 'CSE1010', 'MATH2210', 'STAT3025', 'MATH1131', 'CSE2100', 'CSE1010', 'MATH1131', 'STAT3025', 'MATH2210', 'MATH1131']",['CSE1010']
"['MATH1131', 'CSE1010', 'MATH1131', 'CSE1010', 'CSE1010', 'CSE2010', 'MATH1131', 'MATH2210', 'MATH2210', 'CSE1010', 'CSE1010', 'CSE2010', 'CSE1010', 'MATH2210', 'STAT3025', 'MATH1131', 'CSE2100', 'CSE1010', 'MATH1131', 'STAT3025', 'MATH2210', 'MATH1131', 'CSE1010']",['CSE2100']
['CSE1010'],"['CSE1010', 'MATH1131']"
"['CSE1010', 'MATH1131']","['CSE1010', 'MATH1131']"
"['CSE1010', 'MATH1131', 'CSE1010']",['MATH1131']
"['CSE1010', 'MATH1131', 'CSE1010', 'MATH1131']","['CSE2100', 'CSE1010', 'MATH2210', 'CSE2010', 'MATH1131']"
"['CSE1010', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE1010']","['CSE1010', 'MATH1131', 'MATH2210', 'CSE2010', 'CSE2100']"
"['CSE1010', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE1010', 'MATH1131']","['MATH1131', 'CSE1010', 'CSE2100']"
"['CSE1010', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE1010']",['CSE2010']
"['CSE1010', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE1010', 'CSE2010']",['CSE1010']
"['CSE1010', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE1010', 'CSE2010', 'CSE1010']",['CSE1010']
"['CSE1010', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE1010', 'CSE2010', 'CSE1010', 'CSE1010']",['MATH1131']
"['CSE1010', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE1010', 'CSE2010', 'CSE1010', 'CSE1010', 'MATH1131']",['MATH1131']
"['CSE1010', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE1010', 'CSE2010', 'CSE1010', 'CSE1010', 'MATH1131', 'MATH1131']",['CSE2100']
"['CSE1010', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE1010', 'CSE2010', 'CSE1010', 'CSE1010', 'MATH1131', 'MATH1131', 'CSE2100']",['CSE2010']
"['CSE1010', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE1010', 'CSE2010', 'CSE1010', 'CSE1010', 'MATH1131', 'MATH1131', 'CSE2100', 'CSE2010']",['CSE1010']
"['CSE1010', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE1010', 'CSE2010', 'CSE1010', 'CSE1010', 'MATH1131', 'MATH1131', 'CSE2100', 'CSE2010', 'CSE1010']",['MATH2210']
"['CSE1010', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE1010', 'CSE2010', 'CSE1010', 'CSE1010', 'MATH1131', 'MATH1131', 'CSE2100', 'CSE2010', 'CSE1010', 'MATH2210']",['STAT3025']
"['CSE1010', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE1010', 'CSE2010', 'CSE1010', 'CSE1010', 'MATH1131', 'MATH1131', 'CSE2100', 'CSE2010', 'CSE1010', 'MATH2210', 'STAT3025']",['CSE2010']
"['CSE1010', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE1010', 'CSE2010', 'CSE1010', 'CSE1010', 'MATH1131', 'MATH1131', 'CSE2100', 'CSE2010', 'CSE1010', 'MATH2210', 'STAT3025', 'CSE2010']",['MATH1131']
"['CSE1010', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE1010', 'CSE2010', 'CSE1010', 'CSE1010', 'MATH1131', 'MATH1131', 'CSE2100', 'CSE2010', 'CSE1010', 'MATH2210', 'STAT3025', 'CSE2010', 'MATH1131']",['CSE2100']
"['CSE1010', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE1010', 'CSE2010', 'CSE1010', 'CSE1010', 'MATH1131', 'MATH1131', 'CSE2100', 'CSE2010', 'CSE1010', 'MATH2210', 'STAT3025', 'CSE2010', 'MATH1131', 'CSE2100']",['MATH1131']
"['CSE1010', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE1010', 'CSE2010', 'CSE1010', 'CSE1010', 'MATH1131', 'MATH1131', 'CSE2100', 'CSE2010', 'CSE1010', 'MATH2210', 'STAT3025', 'CSE2010', 'MATH1131', 'CSE2100', 'MATH1131']",['CSE1010']
"['CSE1010', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE1010', 'CSE2010', 'CSE1010', 'CSE1010', 'MATH1131', 'MATH1131', 'CSE2100', 'CSE2010', 'CSE1010', 'MATH2210', 'STAT3025', 'CSE2010', 'MATH1131', 'CSE2100', 'MATH1131', 'CSE1010']",['CSE2100']
"['CSE1010', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE1010', 'CSE2010', 'CSE1010', 'CSE1010', 'MATH1131', 'MATH1131', 'CSE2100', 'CSE2010', 'CSE1010', 'MATH2210', 'STAT3025', 'CSE2010', 'MATH1131', 'CSE2100', 'MATH1131', 'CSE1010', 'CSE2100']",['STAT3025']
"['CSE1010', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE2100']","['CSE1010', 'CSE2010', 'MATH1131']"
"['CSE1010', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE2100', 'CSE1010']","['MATH2210', 'CSE2010', 'CSE1010']"
"['CSE1010', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE2100', 'CSE1010', 'MATH2210']","['CSE2010', 'MATH1131']"
"['CSE1010', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE2100', 'CSE1010', 'MATH2210', 'MATH1131']",['MATH1131']
"['CSE1010', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE2100', 'CSE1010', 'MATH2210', 'MATH1131', 'MATH1131']",['CSE2100']
"['CSE1010', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE2100', 'CSE1010', 'MATH2210', 'MATH1131', 'MATH1131', 'CSE2100']",['MATH2210']
"['CSE1010', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE2100', 'CSE1010', 'MATH2210', 'MATH1131', 'MATH1131', 'CSE2100', 'MATH2210']",['STAT3025']
"['CSE1010', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE2100', 'CSE1010', 'MATH2210', 'MATH1131', 'MATH1131', 'CSE2100', 'MATH2210', 'STAT3025']",['CSE2010']
"['CSE1010', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE2100', 'CSE1010', 'MATH2210', 'MATH1131', 'MATH1131', 'CSE2100', 'MATH2210', 'STAT3025', 'CSE2010']",['CSE2100']
"['CSE1010', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE2100', 'CSE1010', 'MATH2210', 'MATH1131', 'MATH1131', 'CSE2100', 'MATH2210', 'STAT3025', 'CSE2010', 'CSE2100']",['MATH1131']
"['CSE1010', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE2100', 'CSE1010', 'MATH2210', 'MATH1131', 'MATH1131', 'CSE2100', 'MATH2210', 'STAT3025', 'CSE2010', 'CSE2100', 'MATH1131']",['MATH2210']
"['CSE1010', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE2100', 'CSE1010', 'MATH2210', 'MATH1131', 'MATH1131', 'CSE2100', 'MATH2210', 'STAT3025', 'CSE2010', 'CSE2100', 'MATH1131', 'MATH2210']",['MATH2210']
"['CSE1010', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE2100', 'CSE1010', 'MATH2210', 'MATH1131', 'MATH1131', 'CSE2100', 'MATH2210', 'STAT3025', 'CSE2010', 'CSE2100', 'MATH1131', 'MATH2210', 'MATH2210']",['CSE1010']
"['CSE1010', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE2100', 'CSE1010', 'MATH2210', 'MATH1131', 'MATH1131', 'CSE2100', 'MATH2210', 'STAT3025', 'CSE2010', 'CSE2100', 'MATH1131', 'MATH2210', 'MATH2210', 'CSE1010']",['CSE3500']
"['CSE1010', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE2100', 'CSE1010', 'MATH2210', 'MATH1131', 'MATH1131', 'CSE2100', 'MATH2210', 'STAT3025', 'CSE2010', 'CSE2100', 'MATH1131', 'MATH2210', 'MATH2210', 'CSE1010', 'CSE3500']",['CSE2010']
"['CSE1010', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE2100', 'CSE1010', 'MATH2210', 'MATH1131', 'MATH1131', 'CSE2100', 'MATH2210', 'STAT3025', 'CSE2010', 'CSE2100', 'MATH1131', 'MATH2210', 'MATH2210', 'CSE1010', 'CSE3500', 'CSE2010']",['STAT3025']
"['CSE1010', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE2100', 'CSE1010', 'MATH2210', 'MATH1131', 'MATH1131', 'CSE2100', 'MATH2210', 'STAT3025', 'CSE2010', 'CSE2100', 'MATH1131', 'MATH2210', 'MATH2210', 'CSE1010', 'CSE3500', 'CSE2010', 'STAT3025']",['MATH1131']
"['CSE1010', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE2100', 'CSE1010', 'MATH2210', 'MATH1131', 'MATH1131', 'CSE2100', 'MATH2210', 'STAT3025', 'CSE2010', 'CSE2100', 'MATH1131', 'MATH2210', 'MATH2210', 'CSE1010', 'CSE3500', 'CSE2010', 'STAT3025', 'MATH1131']",['CSE2100']
"['CSE1010', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE2100', 'CSE1010', 'MATH2210', 'MATH1131', 'MATH1131', 'CSE2100', 'MATH2210', 'STAT3025', 'CSE2010', 'CSE2100', 'MATH1131', 'MATH2210', 'MATH2210', 'CSE1010', 'CSE3500', 'CSE2010', 'STAT3025', 'MATH1131', 'CSE2100']",['MATH2210']
"['CSE1010', 'CSE1010']",['MATH1131']
"['CSE1010', 'CSE1010', 'MATH1131']",['MATH1131']
"['CSE1010', 'CSE1010', 'MATH1131', 'MATH1131']","['CSE1010', 'MATH1131', 'MATH2210', 'CSE2010', 'CSE2100']"
"['CSE1010', 'CSE1010', 'MATH1131', 'MATH1131', 'MATH2210']","['CSE2100', 'CSE1010', 'CSE2010', 'MATH1131']"
"['CSE1010', 'CSE1010', 'MATH1131', 'MATH1131', 'MATH2210', 'MATH1131']","['CSE1010', 'CSE2010', 'CSE2100']"
"['CSE1010', 'CSE1010', 'MATH1131', 'MATH1131', 'MATH2210', 'MATH1131', 'CSE1010']",['MATH1131']
"['CSE1010', 'CSE1010', 'MATH1131', 'MATH1131', 'MATH2210', 'MATH1131', 'CSE1010', 'MATH1131']","['CSE1010', 'MATH1131']"
"['CSE1010', 'CSE1010', 'MATH1131', 'MATH1131', 'MATH2210', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE1010']","['CSE2010', 'CSE2100']"
"['CSE1010', 'CSE1010', 'MATH1131', 'MATH1131', 'MATH2210', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE1010', 'CSE2010']",['CSE1010']
"['CSE1010', 'CSE1010', 'MATH1131', 'MATH1131', 'MATH2210', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE1010', 'CSE2010', 'CSE1010']",['MATH1131']
"['CSE1010', 'CSE1010', 'MATH1131', 'MATH1131', 'MATH2210', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE1010', 'CSE2010', 'CSE1010', 'MATH1131']",['CSE1010']
"['CSE1010', 'CSE1010', 'MATH1131', 'MATH1131', 'MATH2210', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE1010', 'CSE2010', 'CSE1010', 'MATH1131', 'CSE1010']",['MATH1131']
"['CSE1010', 'CSE1010', 'MATH1131', 'MATH1131', 'MATH2210', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE1010', 'CSE2010', 'CSE1010', 'MATH1131', 'CSE1010', 'MATH1131']",['CSE2010']
"['CSE1010', 'CSE1010', 'MATH1131', 'MATH1131', 'MATH2210', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE1010', 'CSE2010', 'CSE1010', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE2010']",['MATH2210']
"['CSE1010', 'CSE1010', 'MATH1131', 'MATH1131', 'MATH2210', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE1010', 'CSE2010', 'CSE1010', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE2010', 'MATH2210']",['MATH1131']
"['CSE1010', 'CSE1010', 'MATH1131', 'MATH1131', 'MATH2210', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE1010', 'CSE2010', 'CSE1010', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE2010', 'MATH2210', 'MATH1131']",['CSE2010']
"['CSE1010', 'CSE1010', 'MATH1131', 'MATH1131', 'MATH2210', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE1010', 'CSE2010', 'CSE1010', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE2010', 'MATH2210', 'MATH1131', 'CSE2010']",['CSE2100']
"['CSE1010', 'CSE1010', 'MATH1131', 'MATH1131', 'MATH2210', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE1010', 'CSE2010', 'CSE1010', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE2010', 'MATH2210', 'MATH1131', 'CSE2010', 'CSE2100']",['CSE1010']
"['CSE1010', 'CSE1010', 'MATH1131', 'MATH1131', 'MATH2210', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE1010', 'CSE2010', 'CSE1010', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE2010', 'MATH2210', 'MATH1131', 'CSE2010', 'CSE2100', 'CSE1010']",['STAT3025']
"['CSE1010', 'CSE1010', 'MATH1131', 'MATH1131', 'MATH2210', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE1010', 'CSE2010', 'CSE1010', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE2010', 'MATH2210', 'MATH1131', 'CSE2010', 'CSE2100', 'CSE1010', 'STAT3025']",['CSE3500']
"['CSE1010', 'CSE1010', 'MATH1131', 'MATH1131', 'MATH2210', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE1010', 'CSE2010', 'CSE1010', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE2010', 'MATH2210', 'MATH1131', 'CSE2010', 'CSE2100', 'CSE1010', 'STAT3025', 'CSE3500']",['CSE2010']
"['CSE1010', 'CSE1010', 'MATH1131', 'MATH1131', 'MATH2210', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE1010', 'CSE2010', 'CSE1010', 'MATH1131', 'CSE1010', 'MATH1131', 'CSE2010', 'MATH2210', 'MATH1131', 'CSE2010', 'CSE2100', 'CSE1010', 'STAT3025', 'CSE3500', 'CSE2010']",['CSE1010']
"['MATH1131', 'MATH1131', 'CSE1010', 'CSE1010', 'CSE1010']","['CSE2100', 'CSE1010', 'MATH2210', 'CSE2010', 'MATH1131']"
"['MATH1131', 'MATH1131', 'CSE1010', 'CSE1010', 'CSE1010', 'MATH2210']","['CSE2100', 'CSE2010', 'MATH1131']"
"['MATH1131', 'MATH1131', 'CSE1010', 'CSE1010', 'CSE1010', 'MATH2210', 'MATH1131']","['CSE1010', 'CSE2100']"
"['MATH1131', 'MATH1131', 'CSE1010', 'CSE1010', 'CSE1010', 'MATH2210', 'MATH1131', 'CSE2100']",['MATH1131']
"['MATH1131', 'MATH1131', 'CSE1010', 'CSE1010', 'CSE1010', 'MATH2210', 'MATH1131', 'CSE2100', 'MATH1131']",['MATH1131']
"['MATH1131', 'MATH1131', 'CSE1010', 'CSE1010', 'CSE1010', 'MATH2210', 'MATH1131', 'CSE2100', 'MATH1131', 'MATH1131']",['CSE2100']
"['MATH1131', 'MATH1131', 'CSE1010', 'CSE1010', 'CSE1010', 'MATH2210', 'MATH1131', 'CSE2100', 'MATH1131', 'MATH1131', 'CSE2100']",['STAT3025']
"['MATH1131', 'MATH1131', 'CSE1010', 'CSE1010', 'CSE1010', 'MATH2210', 'MATH1131', 'CSE2100', 'MATH1131', 'MATH1131', 'CSE2100', 'STAT3025']",['CSE2100']
"['MATH1131', 'MATH1131', 'CSE1010', 'CSE1010', 'CSE1010', 'MATH2210', 'MATH1131', 'CSE2100', 'MATH1131', 'MATH1131', 'CSE2100', 'STAT3025', 'CSE2100']",['MATH1131']
"['MATH1131', 'MATH1131', 'CSE1010', 'CSE1010', 'CSE1010', 'MATH2210', 'MATH1131', 'CSE2100', 'MATH1131', 'MATH1131', 'CSE2100', 'STAT3025', 'CSE2100', 'MATH1131']",['MATH1131']
"['MATH1131', 'MATH1131', 'CSE1010', 'CSE1010', 'CSE1010', 'MATH2210', 'MATH1131', 'CSE2100', 'MATH1131', 'MATH1131', 'CSE2100', 'STAT3025', 'CSE2100', 'MATH1131', 'MATH1131']",['CSE1010']
"['MATH1131', 'MATH1131', 'CSE1010', 'CSE1010', 'CSE1010', 'MATH2210', 'MATH1131', 'CSE2100', 'MATH1131', 'MATH1131', 'CSE2100', 'STAT3025', 'CSE2100', 'MATH1131', 'MATH1131', 'CSE1010']",['MATH1131']
"['MATH1131', 'MATH1131', 'CSE1010', 'CSE1010', 'CSE1010', 'MATH2210', 'MATH1131', 'CSE2100', 'MATH1131', 'MATH1131', 'CSE2100', 'STAT3025', 'CSE2100', 'MATH1131', 'MATH1131', 'CSE1010', 'MATH1131']",['MATH1131']
"['MATH1131', 'MATH1131', 'CSE1010', 'CSE1010', 'CSE1010', 'MATH2210', 'MATH1131', 'CSE2100', 'MATH1131', 'MATH1131', 'CSE2100', 'STAT3025', 'CSE2100', 'MATH1131', 'MATH1131', 'CSE1010', 'MATH1131', 'MATH1131']",['MATH2210']
"['MATH1131', 'MATH1131', 'CSE1010', 'CSE1010', 'CSE1010', 'MATH2210', 'MATH1131', 'CSE2100', 'MATH1131', 'MATH1131', 'CSE2100', 'STAT3025', 'CSE2100', 'MATH1131', 'MATH1131', 'CSE1010', 'MATH1131', 'MATH1131', 'MATH2210']",['CSE2010']
